filename,chroma_stft_mean,chroma_stft_std,rmse_mean,rmse_std,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,rolloff_mean,rolloff_std,zero_crossing_rate_mean,zero_crossing_rate_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,mfcc_14_mean,mfcc_14_std,mfcc_15_mean,mfcc_15_std,mfcc_16_mean,mfcc_16_std,mfcc_17_mean,mfcc_17_std,mfcc_18_mean,mfcc_18_std,mfcc_19_mean,mfcc_19_std,mfcc_20_mean,mfcc_20_std,peak_value,Class
Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty.mp3: part 1.mp3,0.44541886,0.2946018,0.06423082,0.06879473,1874.81577,1144.857193,2272.117118,645.0017642,3408.658023,2254.33401,0.047609937,0.046827424,-298.261,62.634075,137.26521,39.47456,-1.9284288,24.774242,6.7781963,24.737806,4.531784,16.967333,5.270033,15.833381,1.1482632,10.3931675,-2.5631886,11.383472,-4.898855,10.523074,-4.488589,9.122705,-10.229051,9.938663,-7.1968594,9.11997,-3.9489965,8.344371,-10.671871,8.975198,-7.084502,6.8829336,-4.2833314,7.4097238,-6.5102005,7.5112295,-4.984438,6.14558,-3.8137493,6.2795568,-5.686129,7.733277,0.9861149,Hindustani
Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty.mp3: part 2.mp3,0.43676403,0.29919675,0.07440954,0.0759146,1943.726403,1295.664062,2249.482197,693.4518215,3541.693983,2462.6635,0.051586173,0.05364832,-290.05725,60.54901,142.0604,41.344723,-6.838984,25.063543,10.496069,25.157808,2.5429993,17.579065,2.817608,16.922638,0.37258714,11.044019,-2.5901937,11.774906,-6.40111,10.762898,-5.398282,9.335959,-11.030499,9.736719,-7.914009,8.932388,-4.2495556,8.24156,-11.013004,9.363565,-7.585361,6.9159775,-5.204252,7.586743,-7.85551,7.7183924,-5.332313,6.36128,-3.715883,6.373085,-7.082029,8.071707,0.9516357,Hindustani
Shrutinandan Concept - an Introduction by Pandit Ajoy Chakrabarty.mp3: part 3.mp3,0.43380928,0.3003373,0.06803275,0.07150847,1854.262839,1252.760571,2208.4804,715.8516079,3379.895003,2394.471138,0.047970276,0.05098898,-302.29984,66.9645,140.78705,44.21196,-5.1121693,24.962872,11.355669,24.463268,3.4494295,16.807016,4.139265,16.482578,1.6048347,10.633968,-1.9964147,11.8900585,-5.547632,10.539699,-5.2829633,9.092972,-11.188224,9.902941,-7.299311,8.687419,-3.4105735,8.357145,-10.470115,9.227327,-7.519595,7.003208,-4.9128757,7.3725567,-6.9690742,7.6000195,-4.837935,6.366039,-3.639202,6.1851325,-6.0954905,7.6841764,0.9317603,Hindustani
Todi.mp3: part 1.mp3,0.36750916,0.29300675,0.14540048,0.0644495,1446.384117,330.7895352,2033.326985,284.4505066,2725.68813,833.224828,0.028330593,0.012670382,-198.03214,37.57217,190.50328,17.895708,-30.114489,12.126485,27.10609,9.57178,-9.509741,9.345115,12.102987,11.640029,0.91403025,9.215238,-5.229559,7.27434,-1.2540265,7.2292814,-16.355701,8.678685,-14.917154,9.11886,-10.010113,6.4485397,-2.1301565,7.418642,-9.242733,7.2854533,-1.6683468,6.9627414,-3.283306,7.0906634,-9.886556,6.214228,-3.2773716,6.2272873,-0.23591067,6.0028033,-0.6150153,6.472979,0.93701744,Hindustani
Todi.mp3: part 2.mp3,0.31185624,0.30612725,0.1722116,0.071858875,1637.112859,332.0554105,2149.006416,249.1229791,3098.029115,809.8908989,0.033447942,0.012583747,-175.21811,34.41154,180.04091,15.600018,-40.501945,16.585,27.208523,11.531651,-9.979393,11.184731,7.378793,12.128258,-2.7789257,10.481612,-3.646368,10.097299,-9.90265,11.166934,-13.662599,8.398637,-9.798457,8.572187,-8.196147,7.05012,0.24524142,7.832719,-9.3774395,7.7546177,-3.6332028,6.9673395,-5.302711,7.034562,-8.92938,6.507378,-3.1896942,7.0608745,0.6409657,7.585419,-5.875156,8.27427,0.9558568,Hindustani
Todi.mp3: part 3.mp3,0.34031522,0.30626497,0.15780102,0.07718067,1563.555521,409.4274523,2101.685015,398.1550606,2946.320621,983.8248161,0.031425839,0.01275228,-188.98492,61.01137,179.43976,29.018387,-31.48219,15.430882,23.887077,12.269275,-6.9021583,12.9807205,9.451418,12.697328,-1.4733492,10.492409,-5.73754,10.124458,-6.123586,10.711662,-11.713989,7.980416,-9.419415,8.170673,-7.513142,6.862454,-0.82480985,8.065222,-8.515136,8.474468,-3.3257027,7.10056,-2.7631507,7.176824,-7.161551,6.565765,-4.761009,7.326563,-1.1015801,6.901139,-2.8401356,6.9819274,0.95274067,Hindustani
Taal and Sur of Thekas.mp3: part 1.mp3,0.45189583,0.29860085,0.08085632,0.07115392,1878.624666,1060.641341,2434.507647,615.4181857,3736.870011,2334.095112,0.041581785,0.042275007,-285.04065,70.27345,144.12636,37.30286,-2.0474472,24.000835,22.01983,20.555029,-0.6826676,17.765484,5.051114,17.490995,5.192239,11.892789,-1.3661836,11.678857,-1.1118923,11.209512,-3.4342432,9.565913,-7.1415586,10.212033,-2.0361562,9.375523,0.8197656,9.896449,-6.1938515,11.89662,-4.5717244,7.586708,-4.041265,8.073445,-5.6027427,7.9072948,-2.853547,6.901639,-1.5485388,7.0575986,-4.040727,7.640976,0.9401795,Hindustani
Taal and Sur of Thekas.mp3: part 2.mp3,0.41346592,0.31305346,0.10093339,0.07620406,1555.079401,676.4007865,2234.87013,525.9339255,3006.17454,1776.437349,0.028289065,0.020656988,-271.81708,71.823326,158.99826,30.52555,-3.6258838,23.16926,23.254717,18.845253,1.5049114,18.60574,4.048009,19.181381,4.7602863,11.864553,-2.4958782,11.55149,-2.0711749,12.05311,-4.1214724,9.273233,-7.9723043,8.9487,-3.0220268,9.214757,2.0262325,10.487672,-4.0247526,11.073768,-3.1349733,7.964073,-2.8647735,8.459431,-5.425751,8.939384,-2.148686,7.342045,-0.7422041,6.9131284,-5.3434157,8.244005,0.9474102,Hindustani
Taal and Sur of Thekas.mp3: part 3.mp3,0.39749405,0.31197137,0.08946947,0.080606855,1831.811288,988.7808452,2405.312837,616.462072,3632.421965,2218.639967,0.038493407,0.038507037,-284.35657,78.06885,144.17355,39.048103,-4.770554,24.445566,22.041765,20.60962,1.7737603,18.664812,4.765752,17.972351,2.5250585,12.031404,-3.6499565,12.069967,-3.2627866,11.260129,-4.8195357,9.204013,-9.276204,9.559127,-4.525519,9.330376,-0.22586764,9.929292,-6.959477,10.369559,-4.00138,7.7377977,-3.0236125,7.7477274,-4.991181,8.75476,-2.3799727,7.200969,-1.3259022,6.5564294,-4.9141893,7.801546,0.9429995,Hindustani
Sudh Sarang.mp3: part 1.mp3,0.3457215,0.29512924,0.13097903,0.053331845,1467.935596,465.5681921,2065.063198,318.2413501,2730.612216,1055.383801,0.02892929,0.021341323,-208.38783,33.836487,186.82759,18.065035,-28.982187,11.27225,27.539787,9.416195,-10.94605,10.9060545,9.810302,9.922386,0.9980869,9.010103,-5.967128,7.7912755,-4.4398184,8.264308,-18.221933,8.233492,-13.910858,8.90749,-8.982095,7.091636,-3.7364655,7.4015703,-13.062566,7.784805,-5.7640305,7.1164308,-4.2657614,6.9228253,-8.812105,5.9711943,-3.4199977,6.192148,-3.0119753,6.6458583,-2.1902606,6.6866693,0.9516121,Hindustani
Sudh Sarang.mp3: part 2.mp3,0.29696152,0.30505344,0.17062637,0.078898035,1618.788307,358.0247489,2152.34028,277.24477,3010.696707,884.353558,0.032595267,0.012561369,-181.90387,33.42408,175.65477,15.255088,-37.253117,14.287942,22.331594,11.24507,-10.528067,12.861311,5.964983,12.149878,-2.8661413,10.053113,-6.739882,10.2176895,-12.275891,11.243302,-16.414103,8.245373,-12.912399,8.8591585,-10.64257,7.8563347,-4.5108943,7.7049685,-11.232853,8.075075,-6.3236938,7.49296,-6.0064416,6.8312464,-7.2825875,6.603896,-3.3433895,7.0955667,-1.843275,8.16101,-6.498124,8.12086,0.95147175,Hindustani
Sudh Sarang.mp3: part 3.mp3,0.35806873,0.30108696,0.13937691,0.06815617,1578.843821,402.7668054,2132.029061,387.3647975,3000.030763,1012.647277,0.031693202,0.010798437,-191.83934,49.133915,179.39247,23.666998,-29.606842,13.399481,23.318605,11.111521,-8.37469,12.95523,8.569591,11.886459,0.86546177,9.73603,-4.943076,9.903887,-5.9874763,9.8567705,-13.326897,8.523043,-9.52887,8.541564,-5.5834575,7.295777,-0.63920254,7.9512105,-9.064736,8.12577,-5.0932446,7.1732802,-4.340667,7.3962846,-8.072619,6.2657423,-3.2300386,7.0435896,0.48226333,6.93154,-2.2101624,7.0629735,0.95397884,Hindustani
Sudh Kalyan.mp3: part 1.mp3,0.36380413,0.29494384,0.14404166,0.06329486,1438.003042,414.3022966,2033.495533,304.4712399,2663.747194,947.1442808,0.0277039,0.017257361,-203.68271,30.937263,186.2687,17.466906,-29.224861,11.335447,25.941051,9.336861,-7.1921034,10.855041,15.790708,10.227665,4.521786,8.653124,-7.309803,7.488447,-2.280537,7.985488,-16.573595,7.981312,-14.558866,8.601477,-11.4597845,6.6412587,-5.7997465,7.113007,-13.345358,6.938696,-5.986186,7.0167003,-5.413123,6.961498,-12.302185,6.7158494,-5.0097156,5.7167354,-0.72755814,6.354612,-0.64946586,6.542058,0.9348656,Hindustani
